DUID;Module;DataID;TypeData;NUID1;Parent1;LocalID1;NUID2;Parent2;LocalID2
4;Batt;RequestDataDc24OpA;Method;1;NetEthernet.192.168.10.Batt.CerboGx;10;5;NetWiFi.192.168.11.Batt.CerboGx;10
12;Batt;RequestDataDc12OpM;Method;1;NetEthernet.192.168.10.Batt.CerboGx;10;5;NetWiFi.192.168.11.Batt.CerboGx;10
18;Batt;RequestDataDc12OpA;Method;1;NetEthernet.192.168.10.Batt.CerboGx;10;5;NetWiFi.192.168.11.Batt.CerboGx;10
20;Pow.CpM;TakeCommandPow;Method;3;NetEthernet.192.168.10.Ids.OpM;12;7;NetWiFi.192.168.11.Ids.OpM;12
21;Pow.CpM;ReleaseCommandPow;Method;3;NetEthernet.192.168.10.Ids.OpM;12;7;NetWiFi.192.168.11.Ids.OpM;12
25;Pow.CpM;PowModeIdle;Method;3;NetEthernet.192.168.10.Ids.OpM;12;7;NetWiFi.192.168.11.Ids.OpM;12
26;Pow.CpM;PowModeShore;Method;3;NetEthernet.192.168.10.Ids.OpM;12;7;NetWiFi.192.168.11.Ids.OpM;12
27;Pow.CpM;PowModeDisconnect;Method;3;NetEthernet.192.168.10.Ids.OpM;12;7;NetWiFi.192.168.11.Ids.OpM;12
28;Pow.CpM;PowModeTransitDay;Method;3;NetEthernet.192.168.10.Ids.OpM;12;7;NetWiFi.192.168.11.Ids.OpM;12
29;Pow.CpM;PowModeTransitNightEngine;Method;3;NetEthernet.192.168.10.Ids.OpM;12;7;NetWiFi.192.168.11.Ids.OpM;12
30;Pow.CpM;PowModeTransitNightSail;Method;3;NetEthernet.192.168.10.Ids.OpM;12;7;NetWiFi.192.168.11.Ids.OpM;12
33;Pow.CpA;TakeCommandPow;Method;4;NetEthernet.192.168.10.Ids.OpA;13;8;NetWiFi.192.168.11.Ids.OpA;13
34;Pow.CpA;ReleaseCommandPow;Method;4;NetEthernet.192.168.10.Ids.OpA;13;8;NetWiFi.192.168.11.Ids.OpA;13
38;Pow.CpA;PowModeIdle;Method;4;NetEthernet.192.168.10.Ids.OpA;13;8;NetWiFi.192.168.11.Ids.OpA;13
39;Pow.CpA;PowModeShore;Method;4;NetEthernet.192.168.10.Ids.OpA;13;8;NetWiFi.192.168.11.Ids.OpA;13
