PUID;Parent;LocalID;TypeColor
66;Pow.CpM;ButtTakeRequestPow;
67;Pow.CpM;ButtReleasePow;
72;Pow.CpA;ButtTakeRequestPow;
73;Pow.CpA;ButtReleasePow;
309;Pow.Out12M;ButtOffCh1;Raised
310;Pow.Out12M;ButtOnCh1;Normal
312;Pow.Out12M;ButtOffCh2;Raised
313;Pow.Out12M;ButtOnCh2;Normal
315;Pow.Out12M;ButtOffCh3;Raised
316;Pow.Out12M;ButtOnCh3;Normal
318;Pow.Out12M;ButtOffCh4;Raised
319;Pow.Out12M;ButtOnCh4;Normal
321;Pow.Out12M;ButtOffCh5;Raised
322;Pow.Out12M;ButtOnCh5;Normal
324;Pow.Out12M;ButtOffCh6;Flat
325;Pow.Out12M;ButtOnCh6;Flat
327;Pow.Out12M;ButtOffCh7;Flat
328;Pow.Out12M;ButtOnCh7;Flat
330;Pow.Out12M;ButtOffCh8;Flat
331;Pow.Out12M;ButtOnCh8;Flat
334;Pow.Out12F;ButtOffCh1;Raised
335;Pow.Out12F;ButtOnCh1;Normal
337;Pow.Out12F;ButtOffCh2;Raised
338;Pow.Out12F;ButtOnCh2;Normal
340;Pow.Out12F;ButtOffCh3;Raised
341;Pow.Out12F;ButtOnCh3;Normal
343;Pow.Out12F;ButtOffCh4;Raised
344;Pow.Out12F;ButtOnCh4;Normal
346;Pow.Out12F;ButtOffCh5;Raised
347;Pow.Out12F;ButtOnCh5;Normal
349;Pow.Out12F;ButtOffCh6;Raised
350;Pow.Out12F;ButtOnCh6;Normal
352;Pow.Out12F;ButtOffCh7;Flat
353;Pow.Out12F;ButtOnCh7;Flat
355;Pow.Out12F;ButtOffCh8;Flat
356;Pow.Out12F;ButtOnCh8;Flat
359;Pow.Out12A;ButtOffCh1;Raised
360;Pow.Out12A;ButtOnCh1;Normal
362;Pow.Out12A;ButtOffCh2;Raised
363;Pow.Out12A;ButtOnCh2;Normal
365;Pow.Out12A;ButtOffCh3;Raised
366;Pow.Out12A;ButtOnCh3;Normal
368;Pow.Out12A;ButtOffCh4;Flat
369;Pow.Out12A;ButtOnCh4;Flat
371;Pow.Out12A;ButtOffCh5;Flat
372;Pow.Out12A;ButtOnCh5;Flat
374;Pow.Out12A;ButtOffCh6;Flat
375;Pow.Out12A;ButtOnCh6;Flat
377;Pow.Out12A;ButtOffCh7;Flat
378;Pow.Out12A;ButtOnCh7;Flat
380;Pow.Out12A;ButtOffCh8;Flat
381;Pow.Out12A;ButtOnCh8;Flat
384;Pow.Out24M;ButtOffCh1;Flat
385;Pow.Out24M;ButtOnCh1;Flat
387;Pow.Out24M;ButtOffCh2;Flat
388;Pow.Out24M;ButtOnCh2;Flat
390;Pow.Out24M;ButtOffCh3;Flat
391;Pow.Out24M;ButtOnCh3;Flat
393;Pow.Out24M;ButtOffCh4;Flat
394;Pow.Out24M;ButtOnCh4;Flat
396;Pow.Out24M;ButtOffCh5;Flat
397;Pow.Out24M;ButtOnCh5;Flat
399;Pow.Out24M;ButtOffCh6;Flat
400;Pow.Out24M;ButtOnCh6;Flat
402;Pow.Out24M;ButtOffCh7;Flat
403;Pow.Out24M;ButtOnCh7;Flat
405;Pow.Out24M;ButtOffCh8;Flat
406;Pow.Out24M;ButtOnCh8;Flat
409;Pow.Out24F;ButtOffCh1;Flat
410;Pow.Out24F;ButtOnCh1;Flat
412;Pow.Out24F;ButtOffCh2;Flat
413;Pow.Out24F;ButtOnCh2;Flat
415;Pow.Out24F;ButtOffCh3;Flat
416;Pow.Out24F;ButtOnCh3;Flat
418;Pow.Out24F;ButtOffCh4;Flat
419;Pow.Out24F;ButtOnCh4;Flat
421;Pow.Out24F;ButtOffCh5;Flat
422;Pow.Out24F;ButtOnCh5;Flat
424;Pow.Out24F;ButtOffCh6;Flat
425;Pow.Out24F;ButtOnCh6;Flat
427;Pow.Out24F;ButtOffCh7;Flat
428;Pow.Out24F;ButtOnCh7;Flat
430;Pow.Out24F;ButtOffCh8;Flat
431;Pow.Out24F;ButtOnCh8;Flat
434;Pow.Out24A;ButtOffCh1;Flat
435;Pow.Out24A;ButtOnCh1;Flat
437;Pow.Out24A;ButtOffCh2;Flat
438;Pow.Out24A;ButtOnCh2;Flat
440;Pow.Out24A;ButtOffCh3;Flat
441;Pow.Out24A;ButtOnCh3;Flat
443;Pow.Out24A;ButtOffCh4;Flat
444;Pow.Out24A;ButtOnCh4;Flat
446;Pow.Out24A;ButtOffCh5;Flat
447;Pow.Out24A;ButtOnCh5;Flat
449;Pow.Out24A;ButtOffCh6;Flat
450;Pow.Out24A;ButtOnCh6;Flat
452;Pow.Out24A;ButtOffCh7;Flat
453;Pow.Out24A;ButtOnCh7;Flat
