PUID;Parent;LocalID;TypeGraphics
1;Ids.Consume;GridPanelCommand;ioPanelGrid
2;Ids.Consume;GridPanelMode;ioPanelGrid
3;Ids.Consume;HeaderCommandPanelPow;ioLabel
4;Ids.Consume;ShapeCommandStatusPow;ioShape
5;Ids.Consume;LabelPowerMode;ioLabel
6;Ids.Consume;TextCommandStatusPow;ioTextBlock
7;Ids.Consume;ButtTakeRequestPow;ioButtonShape
8;Ids.Consume;ButtReleasePow;ioButtonShape
9;Ids.Consume;GridChInd1;ioPanelGrid
10;Ids.Consume;ShpOnOffInd1;ioShape
11;Ids.Consume;LabelNameInd1;ioLabel
12;Ids.Consume;GridChInd2;ioPanelGrid
13;Ids.Consume;ShpOnOffInd2;ioShape
14;Ids.Consume;LabelNameInd2;ioLabel
15;Ids.Consume;GridChInd3;ioPanelGrid
16;Ids.Consume;ShpOnOffInd3;ioShape
17;Ids.Consume;LabelNameInd3;ioLabel
18;Ids.Consume;GridChInd4;ioPanelGrid
19;Ids.Consume;ShpOnOffInd4;ioShape
20;Ids.Consume;LabelNameInd4;ioLabel
21;Ids.Consume;GridChInd5;ioPanelGrid
22;Ids.Consume;ShpOnOffInd5;ioShape
23;Ids.Consume;LabelNameInd5;ioLabel
24;Ids.Consume;GridChInd6;ioPanelGrid
25;Ids.Consume;ShpOnOffInd6;ioShape
26;Ids.Consume;LabelNameInd6;ioLabel
27;Ids.Consume;GridChInd7;ioPanelGrid
28;Ids.Consume;ShpOnOffInd7;ioShape
29;Ids.Consume;LabelNameInd7;ioLabel
30;Ids.Consume;GridChInd8;ioPanelGrid
31;Ids.Consume;ShpOnOffInd8;ioShape
32;Ids.Consume;LabelNameInd8;ioLabel
33;Ids.Consume;ButtDockIdle;ioButtonText
34;Ids.Consume;ButtDockConnectedShore;ioButtonText
35;Ids.Consume;ButtDockNotConnected;ioButtonText
36;Ids.Consume;ButtInTransit;ioButtonText
37;Ids.Consume;ButtInTransitEngine;ioButtonText
38;Ids.Consume;ButtInTransitSailing;ioButtonText
39;Ids.Consume;GridCh1;ioPanelGrid
40;Ids.Consume;ButtOffCh1;ioButtonShape
41;Ids.Consume;ButtOnCh1;ioButtonShape
42;Ids.Consume;GridCh2;ioPanelGrid
43;Ids.Consume;ButtOffCh2;ioButtonShape
44;Ids.Consume;ButtOnCh2;ioButtonShape
45;Ids.Consume;GridCh3;ioPanelGrid
46;Ids.Consume;ButtOffCh3;ioButtonShape
47;Ids.Consume;ButtOnCh3;ioButtonShape
48;Ids.Consume;GridCh4;ioPanelGrid
49;Ids.Consume;ButtOffCh4;ioButtonShape
50;Ids.Consume;ButtOnCh4;ioButtonShape
51;Ids.Consume;GridCh5;ioPanelGrid
52;Ids.Consume;ButtOffCh5;ioButtonShape
53;Ids.Consume;ButtOnCh5;ioButtonShape
54;Ids.Consume;GridCh6;ioPanelGrid
55;Ids.Consume;ButtOffCh6;ioButtonShape
56;Ids.Consume;ButtOnCh6;ioButtonShape
57;Ids.Consume;GridCh7;ioPanelGrid
58;Ids.Consume;ButtOffCh7;ioButtonShape
59;Ids.Consume;ButtOnCh7;ioButtonShape
60;Ids.Consume;GridCh8;ioPanelGrid
61;Ids.Consume;ButtOffCh8;ioButtonShape
62;Ids.Consume;ButtOnCh8;ioButtonShape
63;Ids.Consume;IndOutPwr;ioPanelGrid
64;Ids.Convert;LabelHeaderChargerName;ioLabel
65;Ids.Convert;DividerHeaderChargerName;ioDivider
66;Ids.Convert;LabelHeaderChargeInput;ioLabel
67;Ids.Convert;LabelHeaderChargeInputUnit;ioLabel
68;Ids.Convert;InstrVoltInputAc;ioTextBlock
69;Ids.Convert;LabelHeaderChargeOutput;ioLabel
70;Ids.Convert;LabelHeaderChargeOutputUnit;ioLabel
71;Ids.Convert;InstVoltOutputDc;ioTextBlock
72;Ids.Convert;LabelNameDcDcConv;ioLabel
73;Ids.Convert;DividerHeaderDcDcConv;ioDivider
74;Ids.Convert;LabelHeaderDcDcInput;ioLabel
75;Ids.Convert;LabelHeaderDcDcInputUnit;ioLabel
76;Ids.Convert;InstrVoltInputDcDc;ioTextBlock
77;Ids.Convert;LabelHeaderDcDcOutput;ioLabel
78;Ids.Convert;LabelHeaderDcDcOutputUnit;ioLabel
79;Ids.Convert;InstrVoltOutputDcDc;ioTextBlock
80;Ids.Source;LabelHeaderNameBatteryMonitor;ioLabel
81;Ids.Source;DividerHeaderBatteryMonitor;ioDivider
82;Ids.Source;LabelHeaderVoltBattery;ioLabel
83;Ids.Source;LabelHeaderVoltBatteryUnit;ioLabel
84;Ids.Source;InstrVoltBattery;ioTextBlock
85;Ids.Source;LabelHeaderCurrBattery;ioLabel
86;Ids.Source;LabelHeaderCurrBatteryUnit;ioLabel
87;Ids.Source;InstrCurrBattery;ioTextBlock
88;Ids.Source;LabelHeaderSocBattery;ioLabel
89;Ids.Source;LabelHeaderSocBatteryUnit;ioLabel
90;Ids.Source;InstrSocBattery;ioTextBlock
91;Ids.Source;LabelHeaderTtDischrgBattery;ioLabel
92;Ids.Source;InstrTtDischrgBattery;ioTextBlock
